donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits,consensus_primary_donor,consensus_primary_support
gpt2,glm,2019-02-14,2021-03-18,763,1,41,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,1.0000
gpt2,gpt_neox,2019-02-14,2022-04-14,1155,1,46,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,1.0000
gpt2,gpt_bigcode,2019-02-14,2022-12-22,1407,1,42,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail,gpt2,1.0000
glm,llama,2021-03-18,2023-02-27,711,1,45,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,glm,1.0000
gpt_neox,stablelm,2022-04-14,2023-04-19,370,1,45,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt_neox,0.8500
llama,stablelm,2023-02-27,2023-04-19,51,0,4,attention_projection|ffn_activation_core|ffn_projection_style|projection_bias_scheme,gpt_neox,
gpt_neox,phi,2022-04-14,2023-06-15,427,1,45,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt_neox,0.8500
llama,qwen,2023-02-27,2023-08-03,157,0,21,attention_family|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|laurel|modality|ngram_memory|optional_nope|positional_encoding|qk_norm|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|windowed_rope_scope,phi,
phi,qwen,2023-06-15,2023-08-03,49,1,25,altup|attention_output_gating|attention_pattern|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_reuse_attention|lm_head_bias|output_head_connection|periodic_no_rope_layers|q_lora_present|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail,phi,0.8000
llama,plamo,2023-02-27,2023-09-28,213,0,21,altup|attention_family|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|ffn_core|has_aux_silu_gate|hybrid_block_schedule|lm_head_bias|modality|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,qwen,
qwen,plamo,2023-08-03,2023-09-28,56,1,28,attention_output_gating|attention_pattern|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|ngram_memory|optional_nope|positional_encoding|qk_norm|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail,qwen,0.4500
gpt_neox,nemotron,2022-04-14,2023-11-14,579,0,21,attention_family|attention_pattern|cross_layer_kv_sharing|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|modality|norm_scheme|optional_nope|positional_encoding|residual_update_rule|rglru_recurrence|same_block_attention_ssm|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,llama,
llama,nemotron,2023-02-27,2023-11-14,260,1,27,altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|kv_reuse_attention|laurel|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,llama,0.4000
llama,mamba,2023-02-27,2023-12-01,277,0,20,bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_lora_present|laurel|modality|norm_scheme|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap,glm,
phi,mamba,2023-06-15,2023-12-01,169,0,17,altup|attention_output_gating|dual_attention_modules|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_reuse_attention|lm_head_bias|ngram_memory|output_head_connection|q_lora_present|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|window_schedule_detail,glm,
llama,mixtral,2023-02-27,2023-12-11,287,1,31,altup|attention_family|bitlinear_weights|block_norm_variant|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|rope_partition_detail|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|tie_embeddings_configurable|uses_logit_softcap,llama,0.5500
nemotron,mixtral,2023-11-14,2023-12-11,27,0,23,attention_output_gating|attention_pattern|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|ffn_core|has_shared_expert|laurel|ngram_memory|output_head_connection|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope|zero_expert_option,llama,
mixtral,deepseek,2023-12-11,2024-01-08,28,1,55,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,mixtral,0.9500
phi,deepseek,2023-06-15,2024-01-08,207,0,3,kv_layout|output_head_connection|tie_embeddings_configurable,mixtral,
gpt_neox,phixtral,2022-04-14,2024-01-08,634,0,51,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,mixtral,
mixtral,phixtral,2023-12-11,2024-01-08,28,1,6,has_moe|moe_distribution|moe_schedule_type|moe_subtype|projection_bias_scheme|router_activation,mixtral,0.7500
nemotron,internlm2,2023-11-14,2024-01-17,64,0,24,attention_family|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail,plamo,
plamo,internlm2,2023-09-28,2024-01-17,111,1,24,altup|attention_output_gating|attention_pattern|block_norm_variant|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|stack_topology|tie_embeddings_default|windowed_rope_scope,plamo,0.3500
