character,kind,description,states
modality,multistate,Primary model modality coverage.,text|vision+text|audio+vision+text
stack_topology,multistate,"High-level arrangement of transformer, state-space, or recurrent blocks.",ssm_only|transformer|recurrent_rwkv|hybrid_attention_ssm|hybrid_attention_linear|hybrid_recurrent_attention
state_update_rule,multistate,Underlying recurrent/state-space update kernel used when the architecture is not pure dense attention.,none|rg_lru|gla_decay|gated_delta|selective_ssm|wkv_recurrence
attention_family,multistate,Core token mixing mechanism used for contextualization.,mla|ssm|sdpa|custom|sdpa_plus_ssm|rwkv7_state_mixing|mla_plus_gated_delta|sdpa_plus_gated_delta|sdpa_plus_linear_attention
attention_projection,multistate,How Q/K/V or latent state projections are parameterized.,custom|fused_qkv|fused_qkvkv|state_space|separate_q_k_v|lora_factored_q_or_kv
projection_bias_scheme,multistate,Bias-usage regime across the architecture's main attention/FFN/expert linear projections.,none|full_linear|mixed_custom|attention_only
q_lora_present,binary,Whether the architecture uses Q-side low-rank LoRA-style attention factorization.,0|1
kv_lora_present,binary,Whether the architecture uses K/V-side low-rank LoRA-style attention factorization.,0|1
kv_layout,multistate,Key/value head-sharing layout or latent cache organization.,gqa|mha|mqa|state_cache|latent_kv_mla|kv_head_parameterized
cross_layer_kv_sharing,multistate,Whether later layers reuse key/value states projected in other layers.,none|reuse_tail_layers|terminal_shared_layers|stride_shared_projection
attention_pattern,multistate,Context-window or hybrid-attention scheduling pattern.,full_causal|recurrent_ssm|ngram_memory_hybrid|attention_and_ssm_masks|chunked_attention_cache|full_attention_and_linear_state|mixed_global_plus_sliding_window|periodic_global_plus_sliding_window|alternating_local_attention_and_recurrence
hybrid_block_schedule,multistate,How heterogeneous mixer block types are arranged across depth.,none|same_block_parallel|sparse_injected_layers|alternating_layer_types|periodic_global_insertion
window_schedule_detail,multistate,Finer structure of sliding/local/global attention scheduling when present.,none|fixed_sliding|head_split_swa|alternating_local_global
secondary_token_mixer,multistate,Whether some layers replace attention with a secondary non-attention token mixer.,none|short_depthwise_conv
attention_output_gating,multistate,Whether the attention or linear-attention output is multiplicatively gated after mixing.,none|post_attention_gate
