model,date,source_url,source_title,note
Klear,2025-09-04,"https://huggingface.co/api/models/Kwai-Klear/Klear-46B-A2.5B-Base","Hugging Face model metadata: Kwai-Klear/Klear-46B-A2.5B-Base","Exact day from official model metadata on the first public Klear base checkpoint."
afm7,2025-06-09,"https://machinelearning.apple.com/research/apple-foundation-models-2025-updates","Updates to Apple’s On-Device and Server Foundation Language Models","This taxon is Apple's AFM, not Arcee: MLX-LM PR #232 says the implementation adds the released AFM and directs readers to Apple's Foundation Models adapter toolkit for weights. Using Apple's June 9, 2025 WWDC / ML Research launch of the new Foundation Models framework and on-device foundation language model."
afmoe,2025-12-01,"https://huggingface.co/api/models/arcee-ai/Trinity-Mini","Hugging Face model metadata: arcee-ai/Trinity-Mini","Exact day from official model metadata on the earliest public checkpoint found with HF model_type afmoe."
apertus,2025-09-02,"https://huggingface.co/api/models/swiss-ai/Apertus-70B-2509","Hugging Face model metadata: swiss-ai/Apertus-70B-2509","Exact day from official model metadata; matches the 2025-09-02 release date stated in Swiss AI's code-of-practice materials."
baichuan_m1,2025-01-23,"https://huggingface.co/api/models/baichuan-inc/Baichuan-M1-14B-Base","Hugging Face model metadata: baichuan-inc/Baichuan-M1-14B-Base","Exact day from official model metadata on the first public Baichuan-M1 base checkpoint."
bailing_moe,2025-02-28,"https://huggingface.co/api/models/inclusionAI/Ling-lite-base","Hugging Face model metadata: inclusionAI/Ling-lite-base","Exact day from official model metadata on the earliest public checkpoint found with HF model_type bailing_moe."
bailing_moe_linear,2025-04-24,"https://huggingface.co/api/models/inclusionAI/Ring-lite-linear-preview","Hugging Face model metadata: inclusionAI/Ring-lite-linear-preview","Exact day from official model metadata on the earliest public checkpoint found with HF model_type bailing_moe_linear."
bitnet,2024-02-27,"https://arxiv.org/abs/2402.17764","The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits","Primary paper introducing BitNet b1.58; the public paper predates the later open-weight BitNet checkpoints."
cohere,2024-03-11,"https://huggingface.co/api/models/CohereLabs/c4ai-command-r-v01","Hugging Face model metadata: CohereLabs/c4ai-command-r-v01","Mapped to Command R v1; exact day from official model metadata on the first public checkpoint with HF model_type cohere."
cohere2,2024-12-11,"https://huggingface.co/api/models/CohereLabs/c4ai-command-r7b-12-2024","Hugging Face model metadata: CohereLabs/c4ai-command-r7b-12-2024","Mapped to Command R7B 12-2024; exact day from official model metadata on the first public checkpoint with HF model_type cohere2."
dbrx,2024-03-27,"https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm","Introducing DBRX: A New State-of-the-Art Open LLM","Official Databricks launch post."
deepseek,2024-01-08,"https://huggingface.co/api/models/deepseek-ai/deepseek-moe-16b-base","Hugging Face model metadata: deepseek-ai/deepseek-moe-16b-base","Exact day from official model metadata on the earliest public checkpoint with HF model_type deepseek; earlier than the 2024-01-11 DeepSeekMoE paper."
deepseek_v2,2024-05-06,"https://github.com/deepseek-ai/DeepSeek-V2","GitHub - deepseek-ai/DeepSeek-V2: DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model","Official repo README news line says ""2024.05.06: We released the DeepSeek-V2.""."
deepseek_v3,2024-12-26,"https://api-docs.deepseek.com/news/news1226","Introducing DeepSeek-V3","Official DeepSeek launch page; breadcrumb shows 2024/12/26."
deepseek_v32,2025-09-29,"https://api-docs.deepseek.com/news/news250929","Introducing DeepSeek-V3.2-Exp","Using the first public V3.2-family page; final DeepSeek-V3.2 followed on 2025-12-01."
dots1,2025-06-06,"https://arxiv.org/abs/2506.05767","dots.llm1 Technical Report","Primary paper; taxon-to-paper mapping is inferred as dots1 -> dots.llm1."
ernie4_5,2025-06-28,"https://huggingface.co/api/models/baidu/ERNIE-4.5-0.3B-PT","HF model API: baidu/ERNIE-4.5-0.3B-PT","Official Baidu Hugging Face model API createdAt; dense ERNIE 4.5 taxon."
ernie4_5_moe,2025-06-28,"https://huggingface.co/api/models/baidu/ERNIE-4.5-21B-A3B-PT","HF model API: baidu/ERNIE-4.5-21B-A3B-PT","Official Baidu Hugging Face model API createdAt; MoE ERNIE 4.5 taxon."
exaone,2024-08-07,"https://www.prnewswire.com/news-releases/lg-unveils-koreas-first-open-source-ai-exaone-3-0-302216329.html","LG Unveils Korea's First Open Source AI, 'EXAONE 3.0'","Using the first open-weight text EXAONE release; EXAONE 4.0 and K-EXAONE are separate taxa here."
exaone4,2025-07-15,"https://www.prnewswire.com/news-releases/lg-launches-exaone-4-0-redefining-the-open-source-frontier-with-hybrid-ai-model-302504770.html","LG Launches EXAONE 4.0: Redefining the Open-Source Frontier with Hybrid AI Model","Official EXAONE 4.0 launch."
exaone_moe,2026-01-05,"https://arxiv.org/abs/2601.01739","K-EXAONE Technical Report","Primary paper for the MoE EXAONE line; official public release announcement followed on 2026-01-12."
falcon_h1,2025-05-20,"https://falcon-lm.github.io/blog/falcon-h1/","Falcon-H1: A Family of Hybrid-Head Language Models Redefining Efficiency and Performance","Official Falcon blog article published date."
gemma,2024-02-21,"https://blog.google/innovation-and-ai/technology/developers-tools/gemma-open-models/","Gemma: Introducing new state-of-the-art open models","Official Google blog article published date."
gemma2,2024-06-27,"https://blog.google/innovation-and-ai/technology/developers-tools/google-gemma-2/","Gemma 2 is now available to researchers and developers","Official Google blog article published date."
gemma3_text,2025-03-12,"https://blog.google/innovation-and-ai/technology/developers-tools/gemma-3/","Introducing Gemma 3: The most capable model you can run on a single GPU or TPU","Official Google launch post for Gemma 3; gemma3_text uses the same text backbone release."
gemma3n,2025-05-20,"https://blog.google/innovation-and-ai/technology/developers-tools/google-ai-developer-updates-io-2025/","Building with AI: highlights for developers at Google I/O","Official Google I/O 2025 launch post introducing Gemma 3n."
glm,2024-06-05,"https://github.com/zai-org/GLM-4","zai-org/GLM-4","This taxon matches the decoder-only Transformers/MLX GLM implementation used by the GLM-4-9B family, not the original 2021 blank-infilling GLM; the official GLM-4 repo says the GLM-4-9B open-source models were released on 2024-06-05."
glm4,2024-06-18,"https://huggingface.co/docs/transformers/model_doc/glm4","GLM-4-0414","This taxon matches the dedicated Glm4Model family with partial_rotary_factor and the later GLM-4-0414 architecture, not the earlier generic GLM-4 repo row; Transformers docs say GLM-4-0414 was released on 2024-06-18."
glm4_moe,2025-07-28,"https://huggingface.co/docs/transformers/model_doc/glm4_moe","GLM-4.5, GLM-4.6, GLM-4.7","Transformers docs state this model family was released on 2025-07-28; used for the Glm4Moe architecture taxon."
glm4_moe_lite,2026-01-19,"https://huggingface.co/docs/transformers/model_doc/glm4_moe_lite","GLM-4.7-Flash","The local glm4_moe_lite.py matches the dedicated Glm4MoeLite / GLM-4.7-Flash architecture (2048 hidden size, 47 layers, MLA-style q/kv LoRA ranks, 64 routed experts, 1 shared expert), not GLM-4.5-Air; Transformers docs and the official Z.AI release notes place GLM-4.7-Flash on 2026-01-19."
gpt2,2019-02-14,"https://openai.com/blog/better-language-models/","Better language models and their implications","Official OpenAI GPT-2 announcement."
gpt_bigcode,2022-12-22,"https://huggingface.co/datasets/bigcode/governance-card","bigcode/governance-card - Datasets at Hugging Face","Governance card explicitly says SantaCoder was released on 2022-12-22; used as the GPTBigCode architecture origin."
gpt_neox,2022-04-14,"https://huggingface.co/docs/transformers/model_doc/gpt_neox","GPT-NeoX","Transformers docs state this model was released on 2022-04-14; matches the arXiv v1 date for GPT-NeoX-20B."
gpt_oss,2025-08-05,"https://openai.com/index/introducing-gpt-oss/","Introducing gpt-oss","Official OpenAI launch post for gpt-oss."
granite,2024-10-21,"https://newsroom.ibm.com/2024-10-21-ibm-introduces-granite-3-0-high-performing-ai-models-built-for-business","IBM Introduces Granite 3.0 High-Performing AI Models Built for Business","The local granite.py includes Granite 3.x-specific scaling multipliers (logits, attention, embedding, residual), so this row is anchored to IBM's Granite 3.0 launch rather than the earlier generic Transformers docs date."
granitemoe,2024-10-21,"https://newsroom.ibm.com/2024-10-21-ibm-introduces-granite-3-0-high-performing-ai-models-built-for-business","IBM Introduces Granite 3.0 High-Performing AI Models Built for Business","The local granitemoe.py matches the Granite 3.x sparse-MoE family that IBM launched alongside dense Granite 3.0 on 2024-10-21, not the earlier generic docs date."
