taxon,modality,stack_topology,state_update_rule,attention_family,attention_projection,projection_bias_scheme,q_lora_present,kv_lora_present,kv_layout,cross_layer_kv_sharing,attention_pattern,hybrid_block_schedule,window_schedule_detail,secondary_token_mixer,attention_output_gating,positional_encoding,windowed_rope_scope,rope_partition_detail,rope_parameterization,qk_norm,qk_norm_detail,norm_scheme,block_norm_variant,residual_scheme,residual_update_rule,ffn_core,ffn_projection_style,ffn_activation_core,has_aux_silu_gate,has_aux_relu2_gate,has_moe,moe_distribution,moe_schedule_type,moe_subtype,router_activation,router_activation_configurable,has_shared_expert,shared_branch_merge_mode,shared_expert_configurable,expert_bias_correction,zero_expert_option,tie_embeddings_default,tie_embeddings_configurable,output_head_connection,lm_head_bias,uses_logit_scale,uses_logit_softcap,bitlinear_weights,chunked_kv_cache,laurel,altup,conv_on_kv,periodic_no_rope_layers,rglru_recurrence,gated_delta_net,ngram_memory,same_block_attention_ssm,dual_attention_modules,kv_reuse_attention,coefficient_mix_shared_routed,global_plus_linear_attention_mix,grouped_expert_selection,optional_nope
Klear,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,standard_topk,sigmoid_topk,0,1,learned_coefficient_mix,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
afm7,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,reuse_tail_layers,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
afmoe,text,transformer,none,sdpa,separate_q_k_v,none,0,0,gqa,none,mixed_global_plus_sliding_window,none,alternating_local_global,none,post_attention_gate,rope,local_only,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
apertus,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,custom,plain_add,custom,ungated_two_proj,custom,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baichuan_m1,text,transformer,none,sdpa,custom,none,0,0,kv_head_parameterized,none,periodic_global_plus_sliding_window,none,head_split_swa,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,untied_linear,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bailing_moe,text,transformer,none,sdpa,fused_qkv,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,custom,sigmoid_topk,1,1,additive,1,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bailing_moe_linear,text,hybrid_attention_linear,gla_decay,sdpa_plus_linear_attention,fused_qkv,none,0,0,kv_head_parameterized,none,full_attention_and_linear_state,periodic_global_insertion,none,none,post_attention_gate,partial_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,custom,sigmoid_topk,1,1,additive,1,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bitnet,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,relu2_glu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,layernorm_qk,per_head_layernorm_qk,layernorm,standard_layernorm,parallel_residual,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cohere2,text,transformer,none,sdpa,separate_q_k_v,none,0,0,gqa,none,periodic_global_plus_sliding_window,none,fixed_sliding,none,none,rope,local_only,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
